HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
27	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_australis	Shortfin eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	4100	NA	32	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
28	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_bicolor	Indonesian shortfin eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
29	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_dieffenbachii	New Zealand longfin eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	13e3	NA	60	523	wild	medium	acceptable	NA	NA	NA	NA	NA	454523
30	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_marmorata	Marbled eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	11275	NA	40	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
31	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_mossambica	African longfin eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	412.5	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
32	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_nebulosa	Long-finned eel	NA	NA	NA	NA	NA	NA	NA	NA	NA	11e3	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
33	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_reinhardtii	Speckled longfin eel	7300	3650	NA	NA	NA	NA	NA	NA	NA	8965	NA	41	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
34	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_rostrata	American eel	1642	1642	NA	NA	NA	NA	NA	NA	NA	4031.5	NA	50	583	captivity	small	acceptable	NA	NA	NA	NA	NA	454523583
35	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinidae	Atherina	Atherina_presbyter	Sand smelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
36	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinops	Atherinops_affinis	Topsmelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
37	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinopsis	Atherinopsis_californiensis	Jacksmelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
38	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Labidesthes	Labidesthes_sicculus	Brook silverside	120	120	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	442	wild	medium	acceptable	NA	NA	NA	NA	NA	442
39	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Leuresthes	Leuresthes_tenuis	California grunion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
40	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	Menidia_beryllina	Inland silverside	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
41	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	Menidia_extensa	Waccamaw silverside	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
42	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	Menidia_menidia	Atlantic silverside	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
43	Animalia	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Trachinocephalus	Trachinocephalus_myops	Snakefish	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
44	Animalia	Chordata	Actinopterygii	Beloniformes	Adrianichthyidae	Oryzias	Oryzias_latipes	Japanese medaka	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	5	683	captivity	medium	acceptable	NA	NA	NA	NA	NA	52468268368468574e4
45	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hyporhamphus	Hyporhamphus_melanochir	Dusky sea garfish	912	912	NA	NA	NA	NA	NA	NA	NA	330	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
46	Animalia	Chordata	Actinopterygii	Beloniformes	Scomberesocidae	Cololabis	Cololabis_saira	Pacific saury	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
47	Animalia	Chordata	Actinopterygii	Beryciformes	Berycidae	Beryx	Beryx_splendens	Alfonsino	2153	2737	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
48	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	Hoplostethus_atlanticus	Orange roughy	6448	7208	NA	NA	NA	NA	NA	NA	NA	3850	NA	149	454	wild	medium	acceptable	NA	NA	NA	NA	NA	22454
49	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	Hoplostethus_mediterraneus	Mediterranean redfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	454
